!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!                                                                     !
!          data file        :         put/spec.dat                    !
!          t-matrix file    :    output/tmatrix.tl                    !
!          rad integral file:    utput/tmatrix.rad                    !
!          cluster file     :     tput/cluster.clu                    !
!                                                                     !
!                                                                     !
!          spectroscopy     :      PHD        algorithm : MI          !
!          inner potential  :      0.00 eV                            !
!                                                                     !
!          initial state    : 2p     selection rules: INITL =  2      !
!                                                                     !
!          incoming beam    :                                         !
!          THETA_LUM:    55.15  PHI_LUM:   -44.70  E_LUM:  1486.60 eV !
!                                                                     !
!          outgoing beam    :                                         !
!          THETA_INI:   -80.00      THETA_FIN:    79.50               !
!          PHI_INI  :     0.00      PHI_FIN  :     0.00               !
!          E_INI    :   379.10 eV   E_FIN    :   379.10 eV            !
!                                                                     !
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

  PHD           CROSS-SECTION
  0  0  0  0  0  0  1  0
   1   320     1    5  0
    1  -80.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -80.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -80.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -80.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -80.00    0.00    379.10  0.494993E-04  0.999831E-04
    0  -80.00    0.00    379.10  0.494993E-04  0.999831E-04
   -1  -80.00    0.00    379.10  0.494993E-04  0.999831E-04
    1  -79.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -79.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -79.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -79.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -79.50    0.00    379.10  0.711589E-04  0.932133E-04
    0  -79.50    0.00    379.10  0.711589E-04  0.932133E-04
   -1  -79.50    0.00    379.10  0.711589E-04  0.932133E-04
    1  -79.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -79.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -79.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -79.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -79.00    0.00    379.10  0.989584E-04  0.102974E-03
    0  -79.00    0.00    379.10  0.989584E-04  0.102974E-03
   -1  -79.00    0.00    379.10  0.989584E-04  0.102974E-03
    1  -78.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -78.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -78.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -78.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -78.50    0.00    379.10  0.133706E-03  0.144408E-03
    0  -78.50    0.00    379.10  0.133706E-03  0.144408E-03
   -1  -78.50    0.00    379.10  0.133706E-03  0.144408E-03
    1  -78.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -78.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -78.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -78.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -78.00    0.00    379.10  0.176150E-03  0.204322E-03
    0  -78.00    0.00    379.10  0.176150E-03  0.204322E-03
   -1  -78.00    0.00    379.10  0.176150E-03  0.204322E-03
    1  -77.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -77.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -77.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -77.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -77.50    0.00    379.10  0.226970E-03  0.255995E-03
    0  -77.50    0.00    379.10  0.226970E-03  0.255995E-03
   -1  -77.50    0.00    379.10  0.226970E-03  0.255995E-03
    1  -77.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -77.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -77.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -77.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -77.00    0.00    379.10  0.286761E-03  0.298442E-03
    0  -77.00    0.00    379.10  0.286761E-03  0.298442E-03
   -1  -77.00    0.00    379.10  0.286761E-03  0.298442E-03
    1  -76.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -76.50    0.00    379.10  0.000000E+00  0.000000E+00
    3  -76.50    0.00    379.10  0.000000E+00  0.000000E+00
    4  -76.50    0.00    379.10  0.000000E+00  0.000000E+00
    5  -76.50    0.00    379.10  0.356029E-03  0.360854E-03
    0  -76.50    0.00    379.10  0.356029E-03  0.360854E-03
   -1  -76.50    0.00    379.10  0.356029E-03  0.360854E-03
    1  -76.00    0.00    379.10  0.000000E+00  0.000000E+00
    2  -76.00    0.00    379.10  0.000000E+00  0.000000E+00
    3  -76.00    0.00    379.10  0.000000E+00  0.000000E+00
    4  -76.00    0.00    379.10  0.000000E+00  0.000000E+00
    5  -76.00    0.00    379.10  0.435189E-03  0.459085E-03
    0  -76.00    0.00    379.10  0.435189E-03  0.459085E-03
   -1  -76.00    0.00    379.10  0.435189E-03  0.459085E-03
    1  -75.50    0.00    379.10  0.000000E+00  0.000000E+00
    2  -75.50    0.00    379.10  0.000000E+00  0.000000E+00
